Date,Trial,Species,ID,Infection.state,Shell.length,Distance,M,S,FL,FE
5/5/19,9,Biomphalaria,400,infected,,88,0.903225806,0,0,0.096774194
5/5/19,9,Biomphalaria,401,infected,,99,1,0,0,0
5/5/19,9,Biomphalaria,402,infected,,115,1,0,0,0
5/5/19,9,Biomphalaria,403,infected,,64,0.64516129,0.129032258,0,0.225806452
5/5/19,9,Biomphalaria,404,infected,,105,0.741935484,0,0.096774194,0.161290323
5/5/19,9,Biomphalaria,405,uninfected,,25,0.516129032,0.483870968,0,0
5/5/19,9,Biomphalaria,406,uninfected,,6,0.193548387,0.806451613,0,0
5/5/19,9,Biomphalaria,407,uninfected,,48,0.387096774,0.612903226,0,0
5/5/19,9,Biomphalaria,408,uninfected,,33,0.677419355,0.322580645,0,0
5/5/19,9,Biomphalaria,409,uninfected,,106,1,0,0,0
5/5/19,10,Biomphalaria,410,infected,,40,0.290322581,0.709677419,0,0
5/5/19,10,Biomphalaria,411,infected,,79,0.612903226,0,0.032258065,0.35483871
5/5/19,10,Biomphalaria,412,infected,,76,1,0,0,0
5/5/19,10,Biomphalaria,413,infected,,71,0.935483871,0.064516129,0,0
5/5/19,10,Biomphalaria,414,infected,,125,1,0,0,0
5/5/19,10,Biomphalaria,415,uninfected,,68,0.387096774,0.225806452,0,0.387096774
5/5/19,10,Biomphalaria,416,uninfected,,37,0.35483871,0.322580645,0,0.322580645
5/5/19,10,Biomphalaria,417,uninfected,,158,0.709677419,0,0,0.290322581
5/5/19,10,Biomphalaria,418,uninfected,,96,0.387096774,0,0.032258065,0.580645161
5/5/19,10,Biomphalaria,419,uninfected,,76,0.451612903,0,0,0.548387097
5/6/19,11,Biomphalaria,420,infected,,111,0.806451613,0.032258065,0.096774194,0.064516129
5/6/19,11,Biomphalaria,421,infected,,47,0.967741935,0.032258065,0,0
5/6/19,11,Biomphalaria,422,infected,,24,0.387096774,0.032258065,0,0.580645161
5/6/19,11,Biomphalaria,423,infected,,116,1,0,0,0
5/6/19,11,Biomphalaria,424,infected,,124,1,0,0,0
5/6/19,11,Biomphalaria,425,uninfected,,26,0.322580645,0.677419355,0,0
5/6/19,11,Biomphalaria,426,uninfected,,29,0.64516129,0.35483871,0,0
5/6/19,11,Biomphalaria,427,uninfected,,90,0.580645161,0,0,0.419354839
5/6/19,11,Biomphalaria,428,uninfected,,176,0.870967742,0,0.032258065,0.096774194
5/6/19,11,Biomphalaria,429,uninfected,,152,1,0,0,0
5/6/19,12,Biomphalaria,430,infected,,50,0.419354839,0,0.032258065,0.548387097
5/6/19,12,Biomphalaria,431,infected,,31,0.387096774,0,0,0.612903226
5/6/19,12,Biomphalaria,432,infected,,75,0.870967742,0.096774194,0.032258065,0
5/6/19,12,Biomphalaria,433,infected,,64,1,0,0,0
5/6/19,12,Biomphalaria,434,infected,,38,0.580645161,0,0.419354839,0
5/6/19,12,Biomphalaria,435,uninfected,,155,1,0,0,0
5/6/19,12,Biomphalaria,436,uninfected,,131,1,0,0,0
5/6/19,12,Biomphalaria,437,uninfected,,71,0.774193548,0,0,0.225806452
5/6/19,12,Biomphalaria,438,uninfected,,68,0.903225806,0,0.096774194,0
5/6/19,12,Biomphalaria,439,uninfected,,156,1,0,0,0
5/7/19,13,Biomphalaria,440,infected,,68,0.935483871,0.064516129,0,0
5/7/19,13,Biomphalaria,441,infected,,88,1,0,0,0
5/7/19,13,Biomphalaria,442,infected,,101,0.774193548,0.032258065,0,0.193548387
5/7/19,13,Biomphalaria,443,infected,,99,1,0,0,0
5/7/19,13,Biomphalaria,444,infected,,48,0.483870968,0,0,0.516129032
5/7/19,13,Biomphalaria,445,uninfected,,77,0.612903226,0,0.032258065,0.35483871
5/7/19,13,Biomphalaria,446,uninfected,,68,0.35483871,0,0,0.64516129
5/7/19,13,Biomphalaria,447,uninfected,,114,0.64516129,0,0,0.35483871
5/7/19,13,Biomphalaria,448,uninfected,,57,0.419354839,0,0,0.580645161
5/7/19,13,Biomphalaria,449,uninfected,,113,1,0,0,0
5/7/19,14,Biomphalaria,450,infected,,30,0.741935484,0.225806452,0.032258065,0
