Date,Trial ,Species,ID,infection.state,Shell.length,Distance,M,S,FL,FE
4/8/19,1,bulinus,105,uninfected,,105,0.838709677,0.064516129,0.032258065,0.064516129
4/8/19,1,bulinus,106,uninfected,,30,0.290322581,0.709677419,0,0
4/8/19,1,bulinus,107,uninfected,,58,0.35483871,0.032258065,0.032258065,0.580645161
4/8/19,1,bulinus,108,uninfected,,6,0.225806452,0.774193548,0,0
4/8/19,1,bulinus,109,uninfected,,63,0.903225806,0.096774194,0,0
4/26/19,2,bulinus,115,uninfected,,60,1,0,0,0
4/26/19,2,bulinus,116,uninfected,,96,0.935483871,0,0,0.064516129
4/26/19,2,bulinus,117,uninfected,,42,0.580645161,0.161290323,0,0.258064516
4/26/19,2,bulinus,118,uninfected,,36,0.322580645,0.483870968,0,0.193548387
4/26/19,2,bulinus,119,uninfected,,38,0.516129032,0.35483871,0.129032258,0
4/26/19,3,bulinus,125,uninfected,,85,0.935483871,0.064516129,0,0
4/26/19,3,bulinus,126,uninfected,,51,0.806451613,0.193548387,0,0
4/26/19,3,bulinus,127,uninfected,,53,0.709677419,0.096774194,0.064516129,0.129032258
4/26/19,3,bulinus,128,uninfected,,88,0.870967742,0.129032258,0,0
4/26/19,3,bulinus,129,uninfected,,57,0.903225806,0.064516129,0.032258065,0
4/27/19,4,bulinus,135,uninfected,,40,0.741935484,0.258064516,0,0
4/27/19,4,bulinus,136,uninfected,,51,0.838709677,0.161290323,0,0
4/27/19,4,bulinus,137,uninfected,,81,0.903225806,0.096774194,0,0
4/27/19,4,bulinus,138,uninfected,,39,0.387096774,0.032258065,0.161290323,0.419354839
4/27/19,4,bulinus,139,uninfected,,60,0.838709677,0.032258065,0.129032258,0
4/28/19,5,bulinus,145,uninfected,,53,0.64516129,0.032258065,0,0.322580645
4/28/19,5,bulinus,146,uninfected,,114,0.967741935,0.032258065,0,0
4/28/19,5,bulinus,147,uninfected,,42,0.903225806,0,0.096774194,0
4/28/19,5,bulinus,148,uninfected,,43,0.709677419,0.225806452,0,0.064516129
4/28/19,5,bulinus,149,uninfected,,111,0.741935484,0,0,0.258064516
4/29/19,6,bulinus,155,uninfected,,43,0.677419355,0,0.064516129,0.258064516
4/29/19,6,bulinus,156,uninfected,,58,0.838709677,0.032258065,0.129032258,0
4/29/19,6,bulinus,157,uninfected,,25,0.580645161,0.419354839,0,0
4/29/19,6,bulinus,158,uninfected,,7,0.419354839,0.580645161,0,0
4/29/19,6,bulinus,159,uninfected,,21,0.838709677,0.161290323,0,0
